,State,Year,Data
822,Connecticut,1976,742109.0
823,District of Columbia,1976,164436.0
824,Delaware,1976,229178.0
825,Florida,1976,2062020.0
826,Georgia,1976,1552529.0
827,Hawaii,1976,220042.0
828,Iowa,1976,979112.0
829,Idaho,1976,362198.0
830,Illinois,1976,4019369.0
831,Indiana,1976,2410240.0
832,Kansas,1976,972467.0
833,Kentucky,1976,1400423.0
834,Louisiana,1976,3535790.0
835,Massachusetts,1976,1499176.0
836,Maryland,1976,1148110.0
837,Maine,1976,380599.0
838,Michigan,1976,2983999.0
839,Minnesota,1976,1293627.0
840,Missouri,1976,1471585.0
841,Mississippi,1976,778923.0
842,Montana,1976,365130.0
843,North Carolina,1976,1558503.0
844,North Dakota,1976,210442.0
845,Nebraska,1976,554831.0
846,New Hampshire,1976,226976.0
847,New Jersey,1976,2070578.0
848,New Mexico,1976,508860.0
849,Nevada,1976,250239.0
850,New York,1976,4224994.0
851,Ohio,1976,4208900.0
852,Oklahoma,1976,1162766.0
853,Oregon,1976,885915.0
854,Pennsylvania,1976,4164173.0
855,Rhode Island,1976,215504.0
856,South Carolina,1976,964613.0
857,South Dakota,1976,195374.0
858,Tennessee,1976,1720063.0
859,Texas,1976,7835920.0
860,Utah,1976,510233.0
861,Virginia,1976,1443835.0
862,Vermont,1976,131790.0
863,Washington,1976,1506955.0
864,Wisconsin,1976,1372938.0
865,West Virginia,1976,826694.0
866,Wyoming,1976,300313.0
867,Alaska,1977,293489.0
868,Alabama,1977,1623443.0
869,Arkansas,1977,886292.0
870,Arizona,1977,738889.0
871,California,1977,6361466.0
872,Colorado,1977,835096.0
873,Connecticut,1977,748110.0
874,District of Columbia,1977,163353.0
875,Delaware,1977,227666.0
876,Florida,1977,2217477.0
877,Georgia,1977,1628701.0
878,Hawaii,1977,233334.0
879,Iowa,1977,979937.0
880,Idaho,1977,366421.0
881,Illinois,1977,4099481.0
882,Indiana,1977,2485596.0
883,Kansas,1977,981082.0
