,State,Year,Data
648,Oklahoma,1972,26724
649,Oregon,1972,435930
650,Pennsylvania,1972,70114
651,Rhode Island,1972,4934
652,South Carolina,1972,77077
653,South Dakota,1972,78339
654,Tennessee,1972,173103
655,Texas,1972,67560
656,Utah,1972,15234
657,Virginia,1972,70488
658,Vermont,1972,15955
659,Washington,1972,854559
660,Wisconsin,1972,65646
661,West Virginia,1972,24771
662,Wyoming,1972,13492
663,Alaska,1973,7844
664,Alabama,1973,181706
665,Arkansas,1973,81723
666,Arizona,1973,79348
667,California,1973,553162
668,Colorado,1973,23623
669,Connecticut,1973,21870
670,District of Columbia,1973,114
671,Delaware,1973,8483
672,Florida,1973,56250
673,Georgia,1973,125605
674,Hawaii,1973,1528
675,Iowa,1973,16691
676,Idaho,1973,97216
677,Illinois,1973,43861
678,Indiana,1973,32102
679,Kansas,1973,6031
680,Kentucky,1973,67629
681,Louisiana,1973,45748
682,Massachusetts,1973,56501
683,Maryland,1973,55059
684,Maine,1973,64648
685,Michigan,1973,47225
686,Minnesota,1973,36452
687,Missouri,1973,43807
688,Mississippi,1973,32195
689,Montana,1973,84637
690,North Carolina,1973,142789
691,North Dakota,1973,25135
692,Nebraska,1973,16912
693,New Hampshire,1973,30671
694,New Jersey,1973,30289
695,New Mexico,1973,4896
696,Nevada,1973,18356
697,New York,1973,364685
698,Ohio,1973,46607
699,Oklahoma,1973,50756
700,Oregon,1973,351043
701,Pennsylvania,1973,70871
702,Rhode Island,1973,5108
703,South Carolina,1973,83883
704,South Dakota,1973,51534
705,Tennessee,1973,177886
706,Texas,1973,78102
707,Utah,1973,14683
708,Virginia,1973,69214
709,Vermont,1973,17149
710,Washington,1973,783243
711,Wisconsin,1973,67818
712,West Virginia,1973,24229
713,Wyoming,1973,14024
714,Alaska,1974,8329
715,Alabama,1974,166734
716,Arkansas,1974,81339
717,Arizona,1974,82058
718,California,1974,645073
719,Colorado,1974,24207
720,Connecticut,1974,22509
721,District of Columbia,1974,129
722,Delaware,1974,8466
723,Florida,1974,52429
724,Georgia,1974,121581
725,Hawaii,1974,1550
726,Iowa,1974,16976
727,Idaho,1974,111472
728,Illinois,1974,43952
729,Indiana,1974,32017
730,Kansas,1974,5915
731,Kentucky,1974,66669
732,Louisiana,1974,44928
